Fragile and conflict affected situations;FCS;34767;35331;37287;37794;39765;52711;65863;72651;99777;107119;105772;106052;98646;103764;102061;104603;132552;129733;130545;157439;150272;142801;143252;158373;164049;174021;181849;193698;217656;221242;192659;199733;210623;218976;237592;240477;237452;241093;252813;257632;258820;273801;266855;292153;321690;324616;314605;290460;331302;347690;365710;367347;383508;410441;423601
Finland;FIN;15104;14939;16810;19358;22853;25328;29519;28617;33315;37935;40396;40583;44162;49387;46681;46102;51279;50220;51914;54334;58247;51510;43084;41576;42255;49666;53329;57656;52185;52585;51745;53700;47473;50403;57224;52713;61283;59933;56989;55423;52427;57051;61683;69130;67091;54646;66200;63985;56519;53149;62082;56816;49134;47220;47301
Fiji;FJI;194;169;231;242;425;345;323;356;396;433;521;550;579;631;671;623;484;766;711;840;796;1082;840;715;583;579;605;477;554;631;814;671;748;752;748;763;821;792;770;785;843;1056;891;1049;1353;1096;1217;1159;895;792;1221;1089;1060;1151;1170
France;FRA;271219;281211;298706;334020;345303;351852;347236;372010;384632;413260;439013;462434;480729;516600;499071;446919;505602;480857;505859;529155;505364;454701;436894;422603;405343;400880;385614;377492;372208;390649;375691;390690;365893;359916;338119;349161;375306;351563;377444;368919;362226;377536;375075;380690;383759;385369;375765;369142;366326;351900;353033;331805;333228;334097;303276
Faroe Islands;FRO;59;114;117;125;121;136;139;169;183;213;257;260;235;253;301;348;330;407;400;480;422;440;458;488;499;517;491;499;528;579;711;667;649;583;576;572;601;590;623;631;689;763;726;733;748;722;678;689;631;576;631;568;590;678;598
Micronesia, Fed. Sts.;FSM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;103;106;106;110;117;110;125;169;143;143;143;121;121;139;117;161;114;121;136;143;150
Gabon;GAB;132;165;88;73;191;216;381;1012;1962;1434;2083;2846;2739;5313;5453;5368;5710;6315;7561;6755;6634;6575;6557;5519;5996;6318;4969;4023;4334;5772;4499;4536;4932;4991;4389;4624;4774;4796;4980;4807;4694;4800;4573;4642;4686;4888;4173;4118;4173;4250;4811;4972;5104;5280;5192
United Kingdom;GBR;584300;588939;593361;603823;608355;622620;618564;592518;606969;628857;653063;660863;648487;660034;617607;603643;598913;604747;605084;644893;579291;560820;548521;545741;529335;559856;568777;571869;570464;581722;555925;566830;556280;545712;546739;538118;551436;527344;531906;530938;541785;545862;528642;540006;539240;542580;541458;528426;520688;471719;493208;447829;468573;458250;419820
Georgia;GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15335;9952;6084;2303;4067;4437;4961;4345;4536;3770;3388;3773;4323;5068;6150;6421;5167;6241;6315;7972;8441;7858;8988
Ghana;GHA;1463;1346;1434;1723;1650;1705;1441;1496;1764;1690;2626;2296;2424;2475;2937;2747;2435;3003;2970;2659;2560;3047;3044;3656;2582;3326;3047;3286;3451;3344;3817;3935;3982;4547;4954;5277;5611;6366;6403;6549;6289;6920;7422;7631;7349;6993;9358;9828;9138;7708;9956;9831;11877;14620;14466
Gibraltar;GIB;48;51;55;55;55;48;55;62;66;66;70;81;73;84;77;88;77;77;70;92;88;51;22;37;33;44;40;48;70;70;143;198;235;238;282;275;282;293;308;319;334;345;348;356;385;400;418;414;425;462;466;451;462;491;528
Guinea;GIN;411;616;660;697;700;697;719;726;748;748;792;814;832;803;840;843;887;902;902;946;964;990;983;953;979;994;997;994;1027;1045;1005;1027;1060;1089;1250;1291;1364;1419;1503;1580;1643;1720;1804;1881;1944;1826;1892;1969;2189;2263;2604;2780;2582;2299;2450
Gambia, The;GMB;18;22;26;29;29;29;33;33;37;48;48;55;66;62;62;99;99;114;139;147;158;158;161;161;172;172;161;180;183;180;176;180;180;187;187;198;198;198;213;231;246;253;290;290;293;293;308;352;367;381;433;447;455;433;513
Guinea-Bissau;GNB;18;29;40;48;59;66;66;48;62;59;70;73;66;110;103;114;95;103;103;110;147;143;143;143;161;172;183;194;216;231;172;176;180;183;183;183;183;202;172;194;147;150;154;194;202;213;216;231;227;235;238;246;253;257;271
Equatorial Guinea;GNQ;22;22;22;26;26;29;26;26;29;44;37;66;88;29;51;62;62;62;70;62;59;70;73;62;81;66;81;99;106;117;66;143;158;99;33;128;114;290;165;466;455;3095;4980;6018;5218;4712;4756;4796;4503;4620;4679;6128;5115;5163;5346
Greece;GRC;9406;9824;10165;12259;13223;17026;18650;19534;22321;25475;24166;27814;31573;37257;36219;38874;42911;47000;48082;51294;51430;50722;52148;55544;57055;60601;59130;63472;67990;74183;74279;74062;75500;75713;77909;78782;80241;83718;87751;86637;91616;93806;93670;95738;97150;98675;97286;98246;95965;91943;83857;79842;80043;69482;67319
