country;id;year;;;;
Barbados;BRB;1991;0;0,3712;0,6106;0,0182
Barbados;BRB;1992;0,0001;0,3955;0,5872;0,0172
Barbados;BRB;1993;0,0002;0,3428;0,639;0,018
Barbados;BRB;1994;0,0002;0,3704;0,6128;0,0165
Barbados;BRB;1995;0,0004;0,2794;0,7012;0,019
Barbados;BRB;1996;0,0004;0,2965;0,6832;0,0199
Barbados;BRB;1997;0,0009;0,3006;0,6783;0,0202
Barbados;BRB;1998;0,0013;0,3117;0,6678;0,0192
Barbados;BRB;1999;0,0016;0,3649;0,6164;0,0171
Barbados;BRB;2000;0,0019;0,378;0,6038;0,0163
Barbados;BRB;2001;0,0023;0,3727;0,6092;0,0159
Barbados;BRB;2002;0,0029;0,3803;0,6022;0,0146
Barbados;BRB;2003;0,0036;0,3824;0,6025;0,0116
Barbados;BRB;2004;0,0041;0,3902;0,5941;0,0116
Barbados;BRB;2005;0,0047;0,3919;0,5872;0,0161
Barbados;BRB;2006;0,0052;0,4034;0,5786;0,0128
Barbados;BRB;2007;0,0058;0,4183;0,5637;0,0122
Barbados;BRB;2008;0,0065;0,416;0,5655;0,012
Barbados;BRB;2009;0,0067;0,4548;0,5266;0,0119
Barbados;BRB;2010;0,0073;0,4536;0,529;0,0101
Barbados;BRB;2011;0,0082;0,4359;0,5453;0,0106
Barbados;BRB;2012;0,0091;0,4286;0,5509;0,0113
Barbados;BRB;2013;0,01;0,4236;0,5544;0,012
Barbados;BRB;2014;0,0109;0,4182;0,5587;0,0122
Belarus;BLR;1990;0,0124;0,384;0,592;0,0115
Belarus;BLR;1991;0;0,7222;0,1681;0,1093
Belarus;BLR;1992;0;0,7213;0,1714;0,107
Belarus;BLR;1993;0,0001;0,7271;0,1535;0,1194
Belarus;BLR;1994;0,0001;0,7014;0,167;0,1315
Belarus;BLR;1995;0,0002;0,6699;0,1849;0,1451
Belarus;BLR;1996;0,0002;0,6455;0,1949;0,1594
Belarus;BLR;1997;0,0003;0,6536;0,1879;0,1582
Belarus;BLR;1998;0,0004;0,6569;0,1852;0,1575
Belarus;BLR;1999;0,0005;0,6485;0,1911;0,1599
Belarus;BLR;2000;0,0007;0,6386;0,1972;0,1635
Belarus;BLR;2001;0,0008;0,6324;0,1994;0,1674
Belarus;BLR;2002;0,0012;0,5723;0,2326;0,1939
Belarus;BLR;2003;0,0013;0,5828;0,2355;0,1804
Belarus;BLR;2004;0,0017;0,5759;0,2333;0,1891
Belarus;BLR;2005;0,0018;0,5931;0,2227;0,1824
Belarus;BLR;2006;0,002;0,591;0,2233;0,1837
Belarus;BLR;2007;0,0025;0,5423;0,2483;0,2069
Belarus;BLR;2008;0,0029;0,5289;0,2588;0,2094
Belarus;BLR;2009;0,003;0,5435;0,2481;0,2055
Belarus;BLR;2010;0,0034;0,5185;0,2635;0,2147
Belarus;BLR;2011;0,0034;0,547;0,252;0,1976
Belarus;BLR;2012;0,0027;0,6613;0,1848;0,1511
Belarus;BLR;2013;0,0029;0,6636;0,1856;0,1479
Belarus;BLR;2014;0,0032;0,6688;0,1837;0,1443
Belgium;BEL;1990;0,0034;0,6697;0,186;0,1409
Belgium;BEL;1991;0,0003;0,8429;0,0849;0,0719
Belgium;BEL;1992;0,0009;0,8474;0,0812;0,0705
Belgium;BEL;1993;0,0015;0,8462;0,0804;0,0719
Belgium;BEL;1994;0,0022;0,8429;0,0806;0,0743
Belgium;BEL;1995;0,0027;0,8485;0,0763;0,0725
Belgium;BEL;1996;0,0033;0,8462;0,0763;0,0741
Belgium;BEL;1997;0,004;0,8519;0,0721;0,072
Belgium;BEL;1998;0,0049;0,8502;0,0715;0,0733
Belgium;BEL;1999;0,0057;0,8532;0,0687;0,0724
Belgium;BEL;2000;0,0067;0,8472;0,0712;0,0749
Belgium;BEL;2001;0,0075;0,8585;0,0678;0,0662
Belgium;BEL;2002;0,0081;0,8623;0,0657;0,0639
Belgium;BEL;2003;0,0093;0,8512;0,0657;0,0739
Belgium;BEL;2004;0,0097;0,8612;0,0603;0,0688
Belgium;BEL;2005;0,0105;0,8626;0,0587;0,0682
Belgium;BEL;2006;0,0115;0,8624;0,0583;0,0678
Belgium;BEL;2007;0,0122;0,8612;0,0583;0,0683
Belgium;BEL;2008;0,013;0,8579;0,0591;0,07
Belgium;BEL;2009;0,0131;0,8598;0,057;0,0701
Belgium;BEL;2010;0,0145;0,8521;0,0604;0,0731
Belgium;BEL;2011;0,0138;0,863;0,0552;0,068
Belgium;BEL;2012;0,0164;0,8483;0,0604;0,075
Belgium;BEL;2013;0,0178;0,8453;0,0607;0,0762
Belgium;BEL;2014;0,0187;0,8469;0,0592;0,0752
Belize;BLZ;1990;0,0209;0,8369;0,0625;0,0796
Belize;BLZ;1991;0;0,5009;0,4823;0,0168
Belize;BLZ;1992;0;0,4971;0,4864;0,0164
Belize;BLZ;1993;0;0,4898;0,4932;0,0169
Belize;BLZ;1994;0,0001;0,4856;0,4981;0,0162
Belize;BLZ;1995;0,0001;0,4797;0,5045;0,0158
Belize;BLZ;1996;0,0001;0,4753;0,5095;0,015
Belize;BLZ;1997;0,0003;0,4656;0,5191;0,015
Belize;BLZ;1998;0,0004;0,4579;0,5277;0,014
Belize;BLZ;1999;0,0006;0,454;0,5291;0,0163
Belize;BLZ;2000;0,0007;0,4468;0,537;0,0155
Belize;BLZ;2001;0,0009;0,4406;0,5424;0,0161
